point_id,lat,lon,population,cluster_id,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4
TNP_0121,9.875,78.375,283191.96407699585,3,1.0,0.0,2.83918394524382e-50,0.0,1.0,6.67452642427237e-30
TNP_0122,11.625,78.625,282878.4148208797,1,0.9999999999999999,0.0,0.9999999999999999,0.0,0.0,1.0863422650191692e-16
TNP_0123,9.625,78.125,281565.6825658679,3,1.0,0.0,2.116405445576057e-53,0.0,1.0,6.860671520720116e-31
TNP_0124,9.125,77.625,276426.1651992798,4,1.0,0.0,1.2754699454207046e-100,0.0,1.2382810050300457e-257,1.0
TNP_0125,8.125,77.625,272677.4193781018,4,1.0,0.0,1.1998959390271961e-86,0.0,2.7950084366383806e-130,1.0
TNP_0126,11.125,78.375,267273.30917078257,1,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,1.2210860153859508e-16
TNP_0127,11.375,78.375,266237.5408079326,1,0.9999999999999999,0.0,0.9999999999999999,0.0,0.0,6.141009135528312e-17
TNP_0128,10.625,77.625,263581.3604952693,1,0.9991135618790432,0.0,0.9991135618790432,0.0,0.0,0.0008864381209556751
TNP_0129,9.875,78.625,262651.0341567993,3,1.0,0.0,1.1995727331424612e-52,0.0,1.0,1.9062277008976e-30
TNP_0130,9.625,77.625,259478.05903168023,4,1.0,0.0,7.138080752232701e-101,0.0,2.352876210856405e-272,1.0
TNP_0131,12.125,78.875,247235.19139759245,1,0.9999999999999964,0.0,0.9999999999999964,0.0,5.765233806359694e-53,3.3378530768918453e-15
TNP_0132,11.125,79.875,246425.969114542,2,1.0,0.0,1.1197386913748288e-59,1.0,0.0,3.6008248164237747e-25
TNP_0133,8.375,77.625,243750.0673230141,4,1.0,0.0,1.6830049596385929e-38,0.0,2.4118105418204252e-132,1.0
