timestamp,year,month,var_type,status,filepath,size_mb,note
2026-08-03 04:39:59,2018,11,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_11_accum.nc,1.24,
2026-08-03 04:43:03,2018,12,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_12_instant.nc,2.01,
2026-08-03 04:46:06,2018,12,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2018_12_accum.nc,1.20,
2026-08-03 04:49:09,2019,01,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_01_instant.nc,2.02,
2026-08-03 04:52:08,2019,01,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_01_accum.nc,1.09,
2026-08-03 04:54:14,2019,02,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_02_instant.nc,1.87,
2026-08-03 04:57:13,2019,02,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_02_accum.nc,1.04,
2026-08-03 05:00:16,2019,03,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_03_instant.nc,2.05,
2026-08-03 05:03:17,2019,03,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_03_accum.nc,1.10,
2026-08-03 05:06:17,2019,04,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_04_instant.nc,1.98,
2026-08-03 05:09:16,2019,04,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2019_04_accum.nc,1.17,
