point_id,season,cluster_id,max_membership_prob,chosen_k,bootstrap_ari_mean_chosen_k,bootstrap_effective_n_resamples_chosen_k,prob_cluster0,prob_cluster1,prob_cluster2
TNP_0023,Monsoon,0,0.9999999367524863,3,0.8095120734108758,50,0.9999999367524863,8.178025088675478e-16,6.324751273846015e-08
TNP_0023,Retreat,0,0.9898535545888945,3,0.8095120734108758,50,0.9898535545888945,7.721642267500643e-31,0.010146445411105855
TNP_0024,Winter,2,0.999999999976616,3,0.8095120734108758,50,2.338313869529728e-11,6.000746352623489e-44,0.999999999976616
TNP_0024,Summer,1,1.0,3,0.8095120734108758,50,1.2682564544274801e-71,1.0,7.477975672906264e-28
TNP_0024,Monsoon,1,1.0,3,0.8095120734108758,50,2.2672389887362278e-41,1.0,2.4882471117176884e-26
TNP_0024,Retreat,0,0.9999999999918145,3,0.8095120734108758,50,0.9999999999918145,2.4904912940183437e-16,8.18483777497895e-12
TNP_0025,Winter,2,1.0,3,0.8095120734108758,50,2.4156175160216482e-48,3.958966541676428e-73,1.0
TNP_0025,Summer,1,1.0,3,0.8095120734108758,50,1.6918360455236527e-80,1.0,5.338676376869097e-27
TNP_0025,Monsoon,1,1.0,3,0.8095120734108758,50,8.233122507308886e-22,1.0,1.728075037959984e-20
TNP_0025,Retreat,0,0.9999999951267258,3,0.8095120734108758,50,0.9999999951267258,3.0294422119467488e-27,4.873274162185641e-09
TNP_0026,Winter,2,1.0,3,0.8095120734108758,50,1.2847486321030828e-103,5.918546972754501e-109,1.0
TNP_0026,Summer,1,1.0,3,0.8095120734108758,50,2.480903335999468e-64,1.0,6.942194778687032e-17
TNP_0026,Monsoon,0,0.9999999945966422,3,0.8095120734108758,50,0.9999999945966422,1.3494052773935364e-17,5.403358399280158e-09
TNP_0026,Retreat,2,1.0,3,0.8095120734108758,50,9.210659765436402e-19,2.266524604485997e-53,1.0
TNP_0027,Winter,2,1.0,3,0.8095120734108758,50,1.1268795888516417e-118,1.3056402932738316e-116,1.0
TNP_0027,Summer,1,0.9999996925388548,3,0.8095120734108758,50,1.7474472751087931e-53,0.9999996925388548,3.0746114403284756e-07
TNP_0027,Monsoon,0,0.9489326624743459,3,0.8095120734108758,50,0.9489326624743459,2.915008247390503e-27,0.051067337525652776
TNP_0027,Retreat,2,1.0,3,0.8095120734108758,50,1.1675515768491358e-30,1.3414462940650452e-67,1.0
TNP_0028,Winter,2,1.0,3,0.8095120734108758,50,2.292674905685148e-57,1.0978341083881816e-77,1.0
TNP_0028,Summer,1,1.0,3,0.8095120734108758,50,1.2668276944388189e-82,1.0,1.1836193400729676e-26
TNP_0028,Monsoon,1,0.9999999999989484,3,0.8095120734108758,50,1.0499753640724795e-12,0.9999999999989484,9.196191093474198e-17
TNP_0028,Retreat,0,0.999982261679624,3,0.8095120734108758,50,0.999982261679624,2.4347546893763993e-29,1.773832037650822e-05
TNP_0029,Winter,2,1.0,3,0.8095120734108758,50,4.012157208912971e-43,1.5792802025573683e-54,1.0
TNP_0029,Summer,2,0.999991279306159,3,0.8095120734108758,50,1.3242058962624613e-15,8.720693840820964e-06,0.999991279306159
TNP_0029,Monsoon,2,0.9999999999997193,3,0.8095120734108758,50,2.8026120161019814e-13,7.796550622825937e-51,0.9999999999997193
TNP_0029,Retreat,2,1.0,3,0.8095120734108758,50,1.5631866253194997e-20,2.677650225673872e-60,1.0
TNP_0030,Winter,2,0.9999999999969766,3,0.8095120734108758,50,3.0242105170279006e-12,1.138886648580875e-51,0.9999999999969766
TNP_0030,Summer,1,1.0,3,0.8095120734108758,50,1.9713570506331843e-56,1.0,1.1005976233110105e-23
TNP_0030,Monsoon,1,1.0,3,0.8095120734108758,50,3.3589205140022083e-45,1.0,1.3557946472904476e-26
TNP_0030,Retreat,0,0.999999999984361,3,0.8095120734108758,50,0.999999999984361,3.368215854290363e-20,1.5639256324006618e-11
TNP_0031,Winter,2,1.0,3,0.8095120734108758,50,2.833351686011031e-46,5.021287263479675e-66,1.0
TNP_0031,Summer,1,1.0,3,0.8095120734108758,50,1.1477939152795332e-59,1.0,2.6072700034911246e-22
TNP_0031,Monsoon,0,0.9998316734088959,3,0.8095120734108758,50,0.9998316734088959,0.0001682467798049511,7.981129780046102e-08
TNP_0031,Retreat,0,0.9990061075698271,3,0.8095120734108758,50,0.9990061075698271,5.552709162248629e-30,0.0009938924301724163
TNP_0032,Winter,2,1.0,3,0.8095120734108758,50,1.2684415696405301e-48,6.16842564853586e-67,1.0
TNP_0032,Summer,1,1.0,3,0.8095120734108758,50,1.0638917095087481e-48,1.0,1.6178405457538446e-17
TNP_0032,Monsoon,0,0.9999974598909935,3,0.8095120734108758,50,0.9999974598909935,1.4540140030468306e-21,2.5401090068152153e-06
TNP_0032,Retreat,2,0.9867103285917157,3,0.8095120734108758,50,0.013289671408283375,1.9917868411724757e-37,0.9867103285917157
TNP_0033,Winter,2,1.0,3,0.8095120734108758,50,2.806658570174192e-28,3.458534520812878e-41,1.0
