case_id,regime_id,pcm_id,sampling_method,seed,capsule_diameter_m,n_capsule,flow_rate_kg_s,simulator_version,runtime_s,valid,reason,geom_pcm_thickness_m,geom_pcm_volume_fraction,geom_void_fraction,geom_pressure_drop_pa,geom_pump_power_w,geom_reynolds_number_particle,geom_hydraulic_diameter_m,geom_below_min_pcm_fraction,state,cluster_id,pcm_name,mains_temp_C,useful_energy_kWh,solar_fraction,delivery_temp_hours,unmet_energy_kWh,pump_energy_kWh,collector_energy_kWh,loss_energy_kWh,charge_energy_kWh,discharge_energy_kWh,residual_pct_of_collector,pcm_mass_kg,max_water_temp_C,max_pcm_temp_C,n_safety_violations,final_f_melt,complete_melt_cycles,n_hours_simulated,split
c3_n_Hexacosane__C26__bnd_nmax,3,n-Hexacosane (C26),boundary,0,0.05,24,0.030000000000000002,sim_v1_tamilnadu,3.285080671310425,True,,0.025,0.031415926535897934,0.968584073464102,1.013133310886751e-05,5.065666554433756e-10,29.19005734815973,1.027699620612634,True,tamilnadu,3.0,n-Hexacosane (C26),25.787,1816.0532472775562,0.5437219174737117,,1119.2416263944683,2.0012971070527475e-09,1894.6874814909029,78.87819567940325,27.621203281416783,27.63931562782214,8.207575679167036e-08,1.2095131716320706,69.96496423797232,69.94361865168284,2059.0,0.0,146.0,8784.0,train
c4_baseline_noPCM,4,NONE_plain_tank,baseline,0,0.08,8,0.030000000000000002,sim_v1_tamilnadu,1.3319933414459229,True,,0.04,0.04289321169701264,0.9571067883029873,1.3858140714189671e-05,6.929070357094836e-10,46.70409175705556,1.1900646595720985,True,tamilnadu,4.0,,24.039,1622.354931808939,0.5106186961464176,,1309.6596129557981,2.73143953476567e-09,1695.8613257153088,73.83932028422964,0.0,0.0,1.5141177051145752e-08,0.0,65.3770020571702,65.3770020571702,0.0,0.0,0.0,8784.0,train
c4_n_Octacosane__C28__lhs_000,4,n-Octacosane (C28),lhs,20265717,0.06200817330309656,19,0.0262976796426954,sim_v1_tamilnadu,2.391024589538574,True,,0.03100408665154828,0.047438290680579434,0.9525617093194205,1.2624763429806336e-05,5.533366404031057e-10,31.732921497614736,0.8300834720358576,True,tamilnadu,4.0,n-Octacosane (C28),24.039,1619.1444699512667,0.5065851644076528,,1320.4539640563382,2.181852484494247e-09,1692.721770244779,73.93754111912394,14.472254742802054,14.510843147154072,3.123498937030616e-07,2.1584422259663643,65.45050019209711,61.25231948167034,0.0,0.0,0.0,8784.0,holdout
c4_n_Octacosane__C28__lhs_001,4,n-Octacosane (C28),lhs,20265717,0.06503952676973095,11,0.02141553708097018,sim_v1_tamilnadu,2.0188100337982178,True,,0.03251976338486547,0.03169227539140557,0.9683077246085945,5.18194664055403e-06,1.8495695072065615e-10,27.105038742629016,1.324787095030245,True,tamilnadu,4.0,n-Octacosane (C28),24.039,1619.4555769677954,0.5079328533238263,,1316.847341305444,7.291927782158261e-10,1693.0664399760144,73.96100721770547,9.537857911059797,9.563602382550071,3.784465164938924e-08,1.4419985303089533,65.46371667681643,61.17451631229802,0.0,0.0,0.0,8784.0,train
c4_n_Octacosane__C28__lhs_002,4,n-Octacosane (C28),lhs,20265717,0.026001862504348806,23,0.012308393816246365,sim_v1_tamilnadu,1.1920928955078125e-05,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c4_n_Octacosane__C28__lhs_003,4,n-Octacosane (C28),lhs,20265717,0.03643551819373379,16,0.036043638089754124,sim_v1_tamilnadu,2.86102294921875e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c4_n_Octacosane__C28__lhs_004,4,n-Octacosane (C28),lhs,20265717,0.02809418841546231,18,0.016960827297664023,sim_v1_tamilnadu,1.9073486328125e-06,False,bounds_violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train
c4_n_Octacosane__C28__lhs_005,4,n-Octacosane (C28),lhs,20265717,0.04501342173276712,13,0.0306676099186581,sim_v1_tamilnadu,2.5051259994506836,True,,0.02250671086638356,0.012416467400606316,0.9875835325993937,3.780843204425108e-06,1.932490409281975e-10,26.863688762003097,2.3868578512146805,True,tamilnadu,4.0,n-Octacosane (C28),24.039,1622.4583717750809,0.5095704507689169,,1312.4648787568615,7.619004479444705e-10,1695.909285966701,73.7923509580519,3.8479424641923616,3.858033211151263,4.8539848712351063e-08,0.5649492667275874,65.37121308765944,61.689826263718345,0.0,0.0,0.0,8784.0,holdout
c4_n_Octacosane__C28__lhs_006,4,n-Octacosane (C28),lhs,20265717,0.07942905412304471,9,0.04077016318694433,sim_v1_tamilnadu,2.1501193046569824,True,,0.039714527061522356,0.047229059775099,0.9527709402249009,2.8192058975267206e-05,1.9156580749960045e-09,63.01813260688511,1.0682363067478493,True,tamilnadu,4.0,n-Octacosane (C28),24.039,1617.914480400954,0.5065994477208869,,1320.4157397140214,7.553439789700952e-09,1691.5859792990339,74.02990009530211,14.10040333306128,14.138778149148404,9.400623504012392e-08,2.148922219767005,65.58351179669788,61.04376462612302,0.0,0.0,0.0,8784.0,train
c4_n_Octacosane__C28__lhs_007,4,n-Octacosane (C28),lhs,20265717,0.05662589628047393,21,0.046501285773524394,sim_v1_tamilnadu,2.492987871170044,True,,0.028312948140236965,0.039929436390085886,0.9600705636099142,3.082273877091332e-05,2.388828306514884e-09,51.24172480234334,0.9076821692113759,True,tamilnadu,4.0,n-Octacosane (C28),24.039,1619.8909665408987,0.5072318671205356,,1318.7232881641817,9.419249547089981e-09,1693.4389071825622,73.90420831196893,12.276806925953807,12.309283622562823,2.3635400660793762e-07,1.8167893557489079,65.3603670802293,61.3806992155821,0.0,0.0,0.0,8784.0,train
