product,manufacturer,property,predicted_value,confidence,prediction_method,donor_1_actual_value,donor_1_manufacturer,donor_1_product,donor_1_weight,donor_2_actual_value,donor_2_manufacturer,donor_2_product,donor_2_weight,donor_3_actual_value,donor_3_manufacturer,donor_3_product,donor_3_weight
n-Docosane (C22),Literature,Tm_freezing,44.3368,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),44.5,Rubitherm Technologies,RT47,0.648,45.0,Rubitherm Technologies,RT45HC,0.183,43.0,Pluss Advanced Technologies,savE® OM42,0.17
Lauric acid (C12),Literature,Tm_freezing,44.8398,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),45.0,Rubitherm Technologies,RT45HC,0.446,44.5,Rubitherm Technologies,RT47,0.32,45.0,Pluss Advanced Technologies,savE® OM46,0.234
n-Tricosane (C23),Literature,Tm_freezing,44.8846,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),45.0,Pluss Advanced Technologies,savE® OM46,0.489,45.0,Rubitherm Technologies,RT45HC,0.28,44.5,Rubitherm Technologies,RT47,0.231
Paraffin/Expanded graphite (85.56% paraffin),Literature,Tm_freezing,46.6051,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),45.5,Pluss Advanced Technologies,savE® OM49,0.437,48.5,Rubitherm Technologies,RT50,0.396,45.0,Pluss Advanced Technologies,savE® OM46,0.167
Paraffin/HDPE PCM3,Literature,Tm_freezing,49.9942,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.0,Pluss Advanced Technologies,savE® OM50,0.996,48.0,Pluss Advanced Technologies,savE® OM48,0.002,49.3,Literature,n-Tetracosane (C24),0.002
PlusICE A50,PCM Products Ltd.,Tm_freezing,48.9119,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),49.3,Literature,n-Tetracosane (C24),0.421,48.0,Pluss Advanced Technologies,savE® OM48,0.397,50.0,Pluss Advanced Technologies,savE® OM50,0.182
Paraffin/HDPE PCM6,Literature,Tm_freezing,49.3226,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.0,Pluss Advanced Technologies,savE® OM50,0.501,48.0,Pluss Advanced Technologies,savE® OM48,0.252,49.3,Literature,n-Tetracosane (C24),0.246
Paraffin/HDPE PCM2,Literature,Tm_freezing,49.2279,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.0,Pluss Advanced Technologies,savE® OM50,0.43,48.0,Pluss Advanced Technologies,savE® OM48,0.287,49.3,Literature,n-Tetracosane (C24),0.283
PlusICE A52,PCM Products Ltd.,Tm_freezing,49.2455,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.0,Pluss Advanced Technologies,savE® OM50,0.443,48.0,Pluss Advanced Technologies,savE® OM48,0.281,49.3,Literature,n-Tetracosane (C24),0.276
Paraffin/Expanded graphite (92% paraffin),Literature,Tm_freezing,49.2487,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.0,Pluss Advanced Technologies,savE® OM50,0.446,48.0,Pluss Advanced Technologies,savE® OM48,0.28,49.3,Literature,n-Tetracosane (C24),0.274
Myristic acid (C14),Literature,Tm_freezing,51.2376,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.51,Literature,Myristic acid/NBR-0.5,0.561,53.5,Rubitherm Technologies,RT54HC,0.301,49.25,Literature,Myristic acid/NBR-1.0,0.138
PureTemp 53,PureTemp,Tm_freezing,51.121,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.51,Literature,Myristic acid/NBR-0.5,0.607,53.5,Rubitherm Technologies,RT54HC,0.26,49.25,Literature,Myristic acid/NBR-1.0,0.132
n-Pentacosane (C25),Literature,Tm_freezing,50.5523,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),50.51,Literature,Myristic acid/NBR-0.5,0.957,53.5,Rubitherm Technologies,RT54HC,0.023,49.25,Literature,Myristic acid/NBR-1.0,0.02
n-Hexacosane (C26),Literature,Tm_freezing,56.1609,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),56.5,Rubitherm Technologies,RT57HC,0.835,54.0,Pluss Advanced Technologies,savE® OM55,0.085,54.91,Literature,Palmitic-stearic acid/Expanded graphite,0.08
PlusICE A58,PCM Products Ltd.,Tm_freezing,58.184,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),58.0,Rubitherm Technologies,RT60,0.66,56.5,Rubitherm Technologies,RT57HC,0.179,60.81,Literature,Palmitic acid/Expanded graphite (80/20),0.161
PureTemp 58,PureTemp,Tm_freezing,58.0631,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),58.0,Rubitherm Technologies,RT60,0.779,56.5,Rubitherm Technologies,RT57HC,0.129,60.81,Literature,Palmitic acid/Expanded graphite (80/20),0.092
n-Heptacosane (C27),Literature,Tm_freezing,59.7486,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),58.0,Rubitherm Technologies,RT60,0.44,60.81,Literature,Palmitic acid/Expanded graphite (80/20),0.306,61.5,Rubitherm Technologies,RT65,0.254
CrodaTherm 60,CrodaTherm,Tm_freezing,61.4633,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),61.5,Rubitherm Technologies,RT65,0.6,62.0,Rubitherm Technologies,RT62HC,0.201,60.81,Literature,Palmitic acid/Expanded graphite (80/20),0.199
PureTemp 60,PureTemp,Tm_freezing,61.5471,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),61.5,Rubitherm Technologies,RT65,0.422,62.0,Rubitherm Technologies,RT62HC,0.375,60.81,Literature,Palmitic acid/Expanded graphite (80/20),0.203
n-Octacosane (C28),Literature,Tm_freezing,62.2913,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),62.5,Rubitherm Technologies,RT64HC,0.657,62.0,Rubitherm Technologies,RT62HC,0.269,61.5,Rubitherm Technologies,RT65,0.074
PlusICE A62,PCM Products Ltd.,Tm_freezing,62.0151,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),62.0,Rubitherm Technologies,RT62HC,0.716,62.5,Rubitherm Technologies,RT64HC,0.157,61.5,Rubitherm Technologies,RT65,0.127
Palmitic acid (C16),Literature,Tm_freezing,62.0825,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),62.0,Rubitherm Technologies,RT62HC,0.665,62.5,Rubitherm Technologies,RT64HC,0.25,61.5,Rubitherm Technologies,RT65,0.085
PureTemp 63,PureTemp,Tm_freezing,62.0486,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),62.0,Rubitherm Technologies,RT62HC,0.771,62.5,Rubitherm Technologies,RT64HC,0.163,61.5,Rubitherm Technologies,RT65,0.066
n-Nonacosane (C29),Literature,Tm_freezing,62.2561,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),62.5,Rubitherm Technologies,RT64HC,0.595,62.0,Rubitherm Technologies,RT62HC,0.322,61.5,Rubitherm Technologies,RT65,0.083
n-Triacontane (C30),Literature,Tm_freezing,63.1326,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),62.5,Rubitherm Technologies,RT64HC,0.461,62.0,Rubitherm Technologies,RT62HC,0.314,66.0,Pluss Advanced Technologies,savE® OM65,0.226
Stearic acid (C18),Literature,Tm_freezing,68.2364,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),68.0,Rubitherm Technologies,RT69HC,0.414,70.0,Rubitherm Technologies,RT70HC,0.352,66.0,Pluss Advanced Technologies,savE® OM65,0.234
PureTemp 68,PureTemp,Tm_freezing,67.2958,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),66.0,Pluss Advanced Technologies,savE® OM65,0.63,70.0,Rubitherm Technologies,RT70HC,0.278,68.0,Rubitherm Technologies,RT69HC,0.091
n-Hentriacontane (C31),Literature,Tm_freezing,68.1792,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),68.0,Rubitherm Technologies,RT69HC,0.499,70.0,Rubitherm Technologies,RT70HC,0.296,66.0,Pluss Advanced Technologies,savE® OM65,0.206
n-Dotriacontane (C32),Literature,Tm_freezing,67.8832,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),66.0,Pluss Advanced Technologies,savE® OM65,0.413,70.0,Rubitherm Technologies,RT70HC,0.354,68.0,Rubitherm Technologies,RT69HC,0.233
RT42,Rubitherm Technologies,Tm_nucleation,40.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT44HC,Rubitherm Technologies,Tm_nucleation,42.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
savE® OM42,Pluss Advanced Technologies,Tm_nucleation,43.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT47,Rubitherm Technologies,Tm_nucleation,44.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Docosane (C22),Literature,Tm_nucleation,44.3368,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Lauric acid (C12),Literature,Tm_nucleation,44.8398,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT45HC,Rubitherm Technologies,Tm_nucleation,45.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Tricosane (C23),Literature,Tm_nucleation,44.8846,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT50,Rubitherm Technologies,Tm_nucleation,48.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Paraffin/Expanded graphite (85.56% paraffin),Literature,Tm_nucleation,46.6051,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
savE® OM49,Pluss Advanced Technologies,Tm_nucleation,45.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Paraffin/HDPE PCM3,Literature,Tm_nucleation,49.9942,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PlusICE A50,PCM Products Ltd.,Tm_nucleation,48.9119,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
savE® OM50,Pluss Advanced Technologies,Tm_nucleation,50.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Paraffin/HDPE PCM6,Literature,Tm_nucleation,49.3226,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Paraffin/HDPE PCM2,Literature,Tm_nucleation,49.2279,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
savE® OM48,Pluss Advanced Technologies,Tm_nucleation,48.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PlusICE A52,PCM Products Ltd.,Tm_nucleation,49.2455,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Tetracosane (C24),Literature,Tm_nucleation,49.3,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Paraffin/Expanded graphite (92% paraffin),Literature,Tm_nucleation,49.2487,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Myristic acid (C14),Literature,Tm_nucleation,51.2376,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PureTemp 53,PureTemp,Tm_nucleation,51.121,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT54HC,Rubitherm Technologies,Tm_nucleation,53.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT55,Rubitherm Technologies,Tm_nucleation,56.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Pentacosane (C25),Literature,Tm_nucleation,50.5523,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Myristic acid/NBR-1.0,Literature,Tm_nucleation,49.25,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Myristic acid/NBR-0.5,Literature,Tm_nucleation,50.51,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
savE® OM55,Pluss Advanced Technologies,Tm_nucleation,54.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Palmitic-stearic acid/Expanded graphite,Literature,Tm_nucleation,54.91,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT57HC,Rubitherm Technologies,Tm_nucleation,56.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Hexacosane (C26),Literature,Tm_nucleation,56.1609,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PlusICE A58,PCM Products Ltd.,Tm_nucleation,58.184,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PureTemp 58,PureTemp,Tm_nucleation,58.0631,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT60,Rubitherm Technologies,Tm_nucleation,58.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Heptacosane (C27),Literature,Tm_nucleation,59.7486,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
CrodaTherm 60,CrodaTherm,Tm_nucleation,61.4633,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Palmitic acid/Expanded graphite (80/20),Literature,Tm_nucleation,60.81,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PureTemp 60,PureTemp,Tm_nucleation,61.5471,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT65,Rubitherm Technologies,Tm_nucleation,61.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Octacosane (C28),Literature,Tm_nucleation,62.2913,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PlusICE A62,PCM Products Ltd.,Tm_nucleation,62.0151,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT62HC,Rubitherm Technologies,Tm_nucleation,62.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Palmitic acid (C16),Literature,Tm_nucleation,62.0825,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PureTemp 63,PureTemp,Tm_nucleation,62.0486,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT64HC,Rubitherm Technologies,Tm_nucleation,62.5,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Nonacosane (C29),Literature,Tm_nucleation,62.2561,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Triacontane (C30),Literature,Tm_nucleation,63.1326,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
savE® OM65,Pluss Advanced Technologies,Tm_nucleation,66.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Stearic acid (C18),Literature,Tm_nucleation,68.2364,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
PureTemp 68,PureTemp,Tm_nucleation,67.2958,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Hentriacontane (C31),Literature,Tm_nucleation,68.1792,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT69HC,Rubitherm Technologies,Tm_nucleation,68.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
n-Dotriacontane (C32),Literature,Tm_nucleation,67.8832,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
RT70HC,Rubitherm Technologies,Tm_nucleation,70.0,LOW (n<3 donors),"Insufficient data (fewer than 3 real values in the entire dataset) — value carried from the only donor(s) available, not a fitted MICE+RF+PMM prediction. Treat as low confidence.",45.0,Pluss Advanced Technologies,savE® OM46,1.0,,,,,,,,
Paraffin/HDPE PCM3,Literature,latent_heat_melting,186.8886,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),188.0,Pluss Advanced Technologies,savE® OM55,0.387,184.4,Literature,Lauric acid (C12),0.309,188.0,Pluss Advanced Technologies,savE® OM65,0.304
Paraffin/HDPE PCM6,Literature,latent_heat_melting,186.8886,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),188.0,Pluss Advanced Technologies,savE® OM55,0.387,184.4,Literature,Lauric acid (C12),0.309,188.0,Pluss Advanced Technologies,savE® OM65,0.304
Paraffin/HDPE PCM2,Literature,latent_heat_melting,186.8865,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),188.0,Pluss Advanced Technologies,savE® OM55,0.386,184.4,Literature,Lauric acid (C12),0.309,188.0,Pluss Advanced Technologies,savE® OM65,0.305
RT42,Rubitherm Technologies,latent_heat_freezing,186.9361,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),182.0,Pluss Advanced Technologies,savE® OM46,0.513,194.0,Pluss Advanced Technologies,savE® OM55,0.259,190.0,Pluss Advanced Technologies,savE® OM42,0.228
RT44HC,Rubitherm Technologies,latent_heat_freezing,242.8566,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.627,230.0,Pluss Advanced Technologies,savE® OM49,0.268,204.0,Pluss Advanced Technologies,savE® OM50,0.106
RT47,Rubitherm Technologies,latent_heat_freezing,174.9725,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),175.6,Literature,Palmitic-stearic acid/Expanded graphite,0.444,172.0,Pluss Advanced Technologies,savE® OM48,0.418,182.0,Pluss Advanced Technologies,savE® OM46,0.137
n-Docosane (C22),Literature,latent_heat_freezing,244.9831,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.684,230.0,Pluss Advanced Technologies,savE® OM49,0.238,204.0,Pluss Advanced Technologies,savE® OM50,0.079
Lauric acid (C12),Literature,latent_heat_freezing,195.6614,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),196.0,Pluss Advanced Technologies,savE® OM65,0.921,190.0,Pluss Advanced Technologies,savE® OM42,0.045,194.0,Pluss Advanced Technologies,savE® OM55,0.034
RT45HC,Rubitherm Technologies,latent_heat_freezing,240.2489,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),254.9,Literature,n-Tetracosane (C24),0.564,230.0,Pluss Advanced Technologies,savE® OM49,0.29,204.0,Pluss Advanced Technologies,savE® OM50,0.146
n-Tricosane (C23),Literature,latent_heat_freezing,240.7902,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),230.0,Pluss Advanced Technologies,savE® OM49,0.48,254.9,Literature,n-Tetracosane (C24),0.478,204.0,Pluss Advanced Technologies,savE® OM50,0.042
RT50,Rubitherm Technologies,latent_heat_freezing,174.3503,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),175.6,Literature,Palmitic-stearic acid/Expanded graphite,0.508,172.0,Pluss Advanced Technologies,savE® OM48,0.44,182.0,Pluss Advanced Technologies,savE® OM46,0.052
Paraffin/Expanded graphite (85.56% paraffin),Literature,latent_heat_freezing,174.5572,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),175.6,Literature,Palmitic-stearic acid/Expanded graphite,0.48,172.0,Pluss Advanced Technologies,savE® OM48,0.437,182.0,Pluss Advanced Technologies,savE® OM46,0.083
Paraffin/HDPE PCM3,Literature,latent_heat_freezing,201.0703,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.724,196.0,Pluss Advanced Technologies,savE® OM65,0.155,190.0,Pluss Advanced Technologies,savE® OM42,0.121
PlusICE A50,PCM Products Ltd.,latent_heat_freezing,201.887,Standard,MICE + Random Forest + PMM (weighted blend of real donor values),204.0,Pluss Advanced Technologies,savE® OM50,0.803,196.0,Pluss Advanced Technologies,savE® OM65,0.108,190.0,Pluss Advanced Technologies,savE® OM42,0.089
