point_id,Ta_mean,Ta_p95,Ta_p05,DTR,HDD18,CDD24,GHI_mean,GHI_daily_kWh_est,kt_mean,kt_std,kt_worst_month,SAI,cloudy_frac,CCI,RH_mean,HSI,wind_mean,elev_proxy,monsoon_index,seasonality,Tm_target,T_mains_est,L_required_kWh,tm_target_capped_flag,Tm_target_capped_C
ASP_0043,25.462346288202607,32.969897460937524,15.980618286132836,5.772030174324293,79.20469681525397,1052.3920535434595,221.5667789031846,4.020272740213524,0.7456654996902732,0.2376745940142091,0.5825594523267209,0.9430604982206404,0.0335797061775709,0.8906623206018167,78.46209949704746,33.07021056454624,1.3095110093217224,0.9808283813038354,0.6366506609990384,0.0634693645450564,44.0,19.462346288202607,3.550850512155108,True,39.94509411313589
ASP_0044,23.935587963873893,30.893457031250023,13.364111328125023,6.460466603661054,188.9780630116381,740.4355360580981,228.95769789825184,3.85076756227758,0.6825841209159935,0.2528354788004258,0.5615321590131613,0.9184232137968792,0.1415275116342732,0.7952082711738028,74.05756610893161,25.8414210056168,1.160826343868985,0.9521685370853372,0.7582824015317583,0.0751421540440893,44.0,17.935587963873893,3.728378577311775,True,40.44170386187641
ASP_0045,24.765302384170568,32.579907226562526,14.958801269531277,5.660362972548783,117.1334483370392,901.921961672266,198.819997262524,3.613052348754448,0.66856414932641,0.2669273539454329,0.5199683323788569,0.866958664111689,0.0714481248289077,0.8388869459879706,79.47754898757182,36.84874773299137,1.1968970993875725,0.9737085172557464,0.5742543223654697,0.0722908897034654,44.0,18.765302384170568,3.6319012283295,True,39.72487455565332
ASP_0046,25.81231270689244,32.807666015625024,15.52175903320315,5.936859038964122,97.06364284654188,1165.4743271266725,230.69532103757768,3.846046423487544,0.7000773206977836,0.2612558464899223,0.5917895705070058,0.9184232137968792,0.1438999908750798,0.7918385781815778,78.898881811058,33.88785807871613,1.823322664284696,0.98879941827846,0.6018189715548474,0.0869930211857745,44.0,19.81231270689244,3.5101571946930066,True,41.18673397935393
ASP_0047,22.859870299262653,30.547802734375026,12.878491210937524,6.100373074677491,219.32731479756367,532.8972326362789,200.8799890500958,3.61291603202847,0.6885020371449163,0.2597270661157914,0.516043457209575,0.8677799069258144,0.0565745049730814,0.8556601750941416,80.78329350113341,42.85001232978269,1.166030697508702,0.9420296054831876,0.564379940530467,0.0775222236288671,44.0,16.859870299262653,3.8534606368690714,True,38.70474079792632
ASP_0048,26.237075498511164,32.965502929687524,16.002880859375022,5.797002041010279,82.84275185255746,1273.6911540823307,242.90865652600587,4.094151476868327,0.718761410964807,0.2634989606414675,0.619864980502379,0.9378592937311798,0.1347750707181312,0.8000691018086521,78.50332153162806,33.90420848701484,1.9917400128039704,0.9934919657109904,0.5377883559489808,0.1002828785787783,44.0,20.237075498511164,3.4607667212008963,True,41.55594860690586
ASP_0049,23.842508395438955,30.854711914062523,13.291979980468774,6.459053722499593,188.01298495923533,735.4388714313947,238.51181541183408,3.9994655160142343,0.7137730372372009,0.2384432262204993,0.5553515460467231,0.9375855461264714,0.1208139428779998,0.7899530483816525,75.02067227518926,24.780986735667955,1.2553286012321694,0.9544391290110054,0.6848269145795992,0.0619920579306033,44.0,17.842508395438955,3.739201662685904,True,39.526057006839736
ASP_0050,25.473446393789697,33.43835449218752,15.412963867187525,6.025539620621642,100.11077291768947,1085.0719345665082,209.94473765854548,3.806587669039146,0.6989035416116255,0.2783404200513927,0.5789794671760475,0.8768135778811935,0.0668856647504334,0.850366719095574,78.92563934945402,33.762514578906874,1.2142220509289554,0.9863890597560018,0.5980827626160505,0.0759950235548812,44.0,19.473446393789697,3.5495598165443427,True,40.821049456148685
ASP_0051,21.181218146877555,28.632104492187526,11.736694335937525,5.6746444555951445,334.3728161301945,284.3771841663768,182.00093895428407,3.2668436298932386,0.6271763776107686,0.2591485256493113,0.4391548505166273,0.8321927183137148,0.0765580801167989,0.8341290157658814,82.80361515840103,50.38938858393799,1.1231035359991106,0.9113387781785944,0.5315224589178561,0.0984760879341427,44.0,15.181218146877557,4.048650578810293,True,37.15914571464482
ASP_0052,25.270310725586228,33.10690917968752,15.420880126953149,5.94782550936035,101.0582888803962,1020.3988583034064,208.26635094442923,3.8061180604982208,0.6715249010798056,0.2969785988214035,0.5330722044970945,0.8773610730906105,0.0854092526690391,0.8361714057963896,77.47628943810057,30.774184498955357,1.0755146971181857,0.9799581162886196,0.6144958751263292,0.0753018518246871,44.0,19.270310725586228,3.573179980630446,True,40.13837702514223
